Sno,MQ-135,MQ-136,MQ-137,Gas
104,1.057,1.046,0.995,No_Gas
105,1.057,1.046,0.995,No_Gas
106,1.064,1.046,0.991,No_Gas
107,1.072,1.03,0.995,No_Gas
108,1.064,1.022,0.991,No_Gas
109,1.057,1.022,1.003,No_Gas
110,1.064,1.046,0.999,No_Gas
111,1.064,1.046,0.995,No_Gas
112,1.064,1.046,0.995,No_Gas
113,1.064,1.046,0.999,No_Gas
114,1.064,1.038,0.997,No_Gas
115,1.072,1.03,0.997,No_Gas
116,1.072,1.046,1.003,No_Gas
117,1.064,1.03,0.999,No_Gas
118,1.064,1.03,0.991,No_Gas
119,1.064,1.046,0.995,No_Gas
120,1.072,1.03,0.991,No_Gas
121,1.072,1.03,0.997,No_Gas
122,1.064,1.022,0.995,No_Gas
123,1.072,1.022,0.995,No_Gas
124,1.08,1.03,0.995,No_Gas
125,1.057,1.022,0.997,No_Gas
126,1.064,1.054,0.995,No_Gas
127,1.08,1.03,0.995,No_Gas
128,1.064,1.03,0.999,No_Gas
129,1.064,1.046,0.995,No_Gas
130,1.072,1.03,0.999,No_Gas
131,1.072,1.046,0.997,No_Gas
132,1.072,1.046,0.997,No_Gas
133,1.057,1.03,0.995,No_Gas
134,1.064,1.03,0.999,No_Gas
135,1.072,1.038,0.991,No_Gas
136,1.064,1.046,0.997,No_Gas
137,1.08,1.046,0.991,No_Gas
138,1.064,1.03,0.995,No_Gas
139,1.072,1.022,0.995,No_Gas
140,1.072,1.046,0.991,No_Gas
141,1.072,1.046,0.999,No_Gas
142,1.064,1.022,0.991,No_Gas
143,1.064,1.022,0.991,No_Gas
144,1.072,1.046,0.999,No_Gas
145,1.064,1.054,0.989,No_Gas
146,1.072,1.054,0.997,No_Gas
147,1.064,1.046,0.993,No_Gas
148,1.064,1.03,0.993,No_Gas
149,1.064,1.03,0.997,No_Gas
150,1.064,1.03,0.995,No_Gas
151,1.08,1.046,0.995,No_Gas
152,1.072,1.054,0.989,No_Gas
153,1.072,1.054,0.987,No_Gas
154,1.064,1.03,0.993,No_Gas
155,1.08,1.046,0.999,No_Gas
156,1.064,1.038,0.995,No_Gas
157,1.072,1.046,0.991,No_Gas
158,1.072,1.054,0.995,No_Gas
159,1.072,1.03,0.997,No_Gas
160,1.072,1.046,0.997,No_Gas
161,1.08,1.054,0.995,No_Gas
162,1.072,1.03,0.999,No_Gas
163,1.072,1.046,0.995,No_Gas
164,1.08,1.022,0.997,No_Gas
165,1.072,1.046,0.993,No_Gas
166,1.08,1.046,0.993,No_Gas
167,1.064,1.054,0.995,No_Gas
168,1.08,1.038,0.995,No_Gas
169,1.072,1.046,0.997,No_Gas
170,1.08,1.046,0.993,No_Gas
171,1.072,1.03,0.993,No_Gas
172,1.064,1.022,0.999,No_Gas
173,1.072,1.046,0.993,No_Gas
174,1.08,1.046,0.991,No_Gas
175,1.064,1.046,0.991,No_Gas
176,1.072,1.054,1.003,No_Gas
177,1.072,1.038,0.995,No_Gas
178,1.08,1.046,1.003,No_Gas
179,1.064,1.046,0.999,No_Gas
180,1.072,1.046,0.995,No_Gas
181,1.08,1.046,0.993,No_Gas
182,1.08,1.046,0.991,No_Gas
183,1.08,1.054,0.997,No_Gas
184,1.08,1.046,0.991,No_Gas
185,1.072,1.038,0.997,No_Gas
186,1.08,1.046,0.995,No_Gas
187,1.08,1.038,0.993,No_Gas
188,1.08,1.03,0.999,No_Gas
189,1.072,1.046,0.993,No_Gas
190,1.08,1.046,1.003,No_Gas
191,1.08,1.022,0.989,No_Gas
192,1.08,1.046,0.995,No_Gas
193,1.08,1.046,0.997,No_Gas
194,1.08,1.038,0.989,No_Gas
195,1.08,1.046,1.001,No_Gas
196,1.08,1.054,0.995,No_Gas
197,1.08,1.046,0.995,No_Gas
198,1.08,1.046,0.997,No_Gas
199,1.072,1.054,0.999,No_Gas
200,1.08,1.046,0.995,No_Gas
201,1.08,1.054,0.995,No_Gas
202,1.08,1.03,0.993,No_Gas
203,1.08,1.046,0.993,No_Gas
204,1.08,1.046,0.997,No_Gas
205,1.08,1.062,0.989,No_Gas
206,1.08,1.038,0.993,No_Gas
207,1.08,1.046,1.003,No_Gas
208,1.08,1.046,0.997,No_Gas
209,1.08,1.062,0.997,No_Gas
210,1.08,1.054,0.999,No_Gas
211,1.072,1.03,0.993,No_Gas
212,1.08,1.054,0.995,No_Gas
213,1.08,1.054,0.991,No_Gas
214,1.08,1.054,0.995,No_Gas
215,1.08,1.062,0.997,No_Gas
216,1.08,1.054,0.995,No_Gas
217,1.08,1.046,0.997,No_Gas
218,1.08,1.054,0.991,No_Gas
219,1.072,1.046,0.991,No_Gas
220,1.08,1.046,0.993,No_Gas
221,1.08,1.054,0.993,No_Gas
222,1.08,1.054,0.993,No_Gas
223,1.072,1.038,0.997,No_Gas
224,1.072,1.046,0.995,No_Gas
225,1.08,1.062,0.997,No_Gas
226,1.08,1.054,0.999,No_Gas
227,1.08,1.054,0.993,No_Gas
228,1.08,1.03,0.993,No_Gas
229,1.08,1.046,0.991,No_Gas
230,1.08,1.046,0.995,No_Gas
231,1.08,1.054,0.991,No_Gas
232,1.08,1.054,0.999,No_Gas
233,1.08,1.054,0.995,No_Gas
234,1.08,1.054,0.999,No_Gas
235,1.08,1.054,0.999,No_Gas
236,1.072,1.054,0.993,No_Gas
237,1.08,1.054,0.993,No_Gas
238,1.08,1.046,0.999,No_Gas
239,1.08,1.046,0.995,No_Gas
240,1.08,1.079,0.995,No_Gas
241,1.08,1.054,0.993,No_Gas
242,1.08,1.062,0.995,No_Gas
243,1.08,1.054,0.995,No_Gas
244,1.08,1.054,0.997,No_Gas
245,1.08,1.046,1.003,No_Gas
246,1.072,1.03,0.993,No_Gas
247,1.08,1.038,0.991,No_Gas
248,1.08,1.054,0.989,No_Gas
249,1.08,1.062,0.997,No_Gas
250,1.08,1.054,0.995,No_Gas
251,1.08,1.07,0.993,No_Gas
252,1.08,1.054,0.997,No_Gas
253,1.08,1.054,0.995,No_Gas
254,1.08,1.046,0.993,No_Gas
255,1.08,1.038,0.997,No_Gas
256,1.08,1.07,1.003,No_Gas
257,1.08,1.054,0.997,No_Gas
258,1.08,1.054,0.993,No_Gas
259,1.08,1.062,0.989,No_Gas
260,1.08,1.054,0.995,No_Gas
261,1.08,1.062,0.997,No_Gas
262,1.08,1.062,0.997,No_Gas
263,1.08,1.054,0.995,No_Gas
264,1.08,1.046,0.997,No_Gas
265,1.08,1.054,0.997,No_Gas
266,1.08,1.046,0.995,No_Gas
267,1.08,1.038,1.001,No_Gas
268,1.08,1.062,0.997,No_Gas
269,1.08,1.054,0.995,No_Gas
270,1.08,1.054,0.993,No_Gas
271,1.08,1.046,0.991,No_Gas
272,1.08,1.054,0.995,No_Gas
273,1.08,1.054,0.989,No_Gas
274,1.08,1.054,0.997,No_Gas
275,1.08,1.054,0.995,No_Gas
276,1.08,1.062,0.991,No_Gas
277,1.08,1.054,0.997,No_Gas
278,1.08,1.054,1.003,No_Gas
279,1.08,1.054,0.991,No_Gas
280,1.08,1.054,1.001,No_Gas
281,1.08,1.046,0.995,No_Gas
282,1.08,1.062,0.997,No_Gas
283,1.08,1.062,0.999,No_Gas
284,1.08,1.062,1.001,No_Gas
285,1.08,1.054,0.991,No_Gas
286,1.08,1.054,0.989,No_Gas
287,1.08,1.07,0.999,No_Gas
288,1.08,1.046,0.993,No_Gas
289,1.08,1.046,0.995,No_Gas
290,1.08,1.079,0.999,No_Gas
291,1.08,1.046,0.997,No_Gas
292,1.08,1.046,0.995,No_Gas
293,1.08,1.054,0.997,No_Gas
294,1.072,1.062,0.991,No_Gas
295,1.08,1.046,0.997,No_Gas
296,1.08,1.062,0.991,No_Gas
297,1.088,1.046,0.995,No_Gas
298,1.072,1.046,0.995,No_Gas
299,1.08,1.062,1.001,No_Gas
300,1.08,1.046,0.997,No_Gas
301,1.08,1.054,0.999,No_Gas
302,1.08,1.07,0.991,No_Gas
303,1.08,1.054,0.991,No_Gas
304,1.08,1.046,0.993,No_Gas
305,1.08,1.062,0.991,No_Gas
306,1.08,1.07,1.003,No_Gas
307,1.08,1.046,0.993,No_Gas
308,1.08,1.054,0.991,No_Gas
309,1.08,1.054,0.997,No_Gas
310,1.08,1.079,0.991,No_Gas
311,1.08,1.054,0.993,No_Gas
312,1.08,1.062,0.991,No_Gas
313,1.08,1.054,0.995,No_Gas
314,1.08,1.054,0.993,No_Gas
315,1.08,1.054,0.997,No_Gas
316,1.08,1.046,0.997,No_Gas
317,1.08,1.046,0.995,No_Gas
318,1.08,1.054,0.997,No_Gas
319,1.08,1.054,0.995,No_Gas
320,1.08,1.054,0.995,No_Gas
321,1.08,1.062,0.995,No_Gas
322,1.08,1.062,0.993,No_Gas
323,1.08,1.062,0.993,No_Gas
324,1.08,1.062,0.995,No_Gas
325,1.08,1.062,0.995,No_Gas
326,1.08,1.062,0.999,No_Gas
327,1.08,1.054,1.003,No_Gas
328,1.08,1.054,0.999,No_Gas
329,1.088,1.054,0.995,No_Gas
330,1.096,1.062,0.997,No_Gas
331,1.08,1.062,0.991,No_Gas
332,1.08,1.054,0.997,No_Gas
333,1.08,1.062,0.997,No_Gas
334,1.08,1.062,0.993,No_Gas
335,1.08,1.038,0.991,No_Gas
336,1.08,1.03,0.997,No_Gas
337,1.08,1.046,1.003,No_Gas
338,1.08,1.046,0.997,No_Gas
339,1.08,1.054,0.995,No_Gas
340,1.08,1.054,0.995,No_Gas
341,1.08,1.054,1.001,No_Gas
342,1.096,1.046,0.999,No_Gas
343,1.08,1.046,0.991,No_Gas
344,1.08,1.046,0.991,No_Gas
345,1.088,1.054,0.997,No_Gas
346,1.08,1.046,0.999,No_Gas
347,1.08,1.054,0.999,No_Gas
348,1.08,1.062,0.999,No_Gas
349,1.088,1.062,0.993,No_Gas
350,1.08,1.062,0.997,No_Gas
351,1.08,1.046,0.993,No_Gas
352,1.088,1.046,0.997,No_Gas
353,1.088,1.046,0.989,No_Gas
354,1.08,1.046,0.999,No_Gas
355,1.08,1.054,0.995,No_Gas
356,1.088,1.062,0.991,No_Gas
357,1.088,1.07,0.991,No_Gas
358,1.08,1.062,0.995,No_Gas
359,1.104,1.054,0.995,No_Gas
360,1.08,1.07,0.995,No_Gas
361,1.08,1.079,0.997,No_Gas
362,1.08,1.062,0.995,No_Gas
363,1.08,1.062,0.995,No_Gas
364,1.088,1.07,0.995,No_Gas
365,1.08,1.054,0.995,No_Gas
366,1.08,1.062,0.995,No_Gas
367,1.088,1.054,0.993,No_Gas
368,1.088,1.054,0.989,No_Gas
369,1.08,1.07,0.993,No_Gas
370,1.08,1.054,0.999,No_Gas
371,1.08,1.054,0.995,No_Gas
372,1.096,1.07,0.995,No_Gas
373,1.08,1.054,0.991,No_Gas
374,1.096,1.054,0.995,No_Gas
375,1.088,1.079,0.991,No_Gas
376,1.088,1.062,0.997,No_Gas
377,1.08,1.062,1.005,No_Gas
378,1.104,1.062,1.001,No_Gas
379,1.08,1.054,0.991,No_Gas
380,1.096,1.054,0.999,No_Gas
381,1.08,1.062,0.999,No_Gas
382,1.088,1.079,0.997,No_Gas
383,1.08,1.062,0.991,No_Gas
384,1.096,1.07,0.991,No_Gas
385,1.08,1.07,0.989,No_Gas
386,1.096,1.079,0.995,No_Gas
387,1.088,1.079,0.991,No_Gas
388,1.088,1.054,1.005,No_Gas
389,1.08,1.07,0.995,No_Gas
390,1.088,1.062,0.995,No_Gas
391,1.088,1.054,0.995,No_Gas
392,1.08,1.054,0.995,No_Gas
393,1.08,1.07,1.003,No_Gas
394,1.088,1.062,0.995,No_Gas
395,1.08,1.079,0.991,No_Gas
396,1.096,1.054,0.995,No_Gas
397,1.088,1.054,0.997,No_Gas
398,1.088,1.062,0.995,No_Gas
399,1.096,1.054,0.991,No_Gas
400,1.088,1.046,0.997,No_Gas
401,1.088,1.054,0.995,No_Gas
402,1.088,1.062,0.997,No_Gas
403,1.088,1.07,0.995,No_Gas
404,1.08,1.046,0.997,No_Gas
405,1.088,1.054,0.995,No_Gas
406,1.096,1.054,0.991,No_Gas
407,1.096,1.054,0.995,No_Gas
408,1.104,1.046,0.991,No_Gas
409,1.096,1.062,0.993,No_Gas
410,1.096,1.062,0.991,No_Gas
411,1.08,1.054,0.997,No_Gas
412,1.096,1.054,0.991,No_Gas
413,1.088,1.054,0.991,No_Gas
414,1.088,1.062,0.995,No_Gas
415,1.096,1.046,0.997,No_Gas
416,1.088,1.062,0.993,No_Gas
417,1.104,1.054,0.993,No_Gas
418,1.08,1.054,0.993,No_Gas
419,1.08,1.062,0.997,No_Gas
420,1.08,1.079,0.999,No_Gas
421,1.096,1.062,0.991,No_Gas
422,1.096,1.054,0.993,No_Gas
423,1.08,1.07,0.999,No_Gas
424,1.088,1.046,0.993,No_Gas
425,1.08,1.062,0.991,No_Gas
426,1.088,1.062,0.999,No_Gas
427,1.08,1.054,0.991,No_Gas
428,1.088,1.054,0.993,No_Gas
429,1.088,1.054,0.995,No_Gas
430,1.08,1.062,0.997,No_Gas
431,1.096,1.054,0.989,No_Gas
432,1.088,1.054,0.997,No_Gas
433,1.088,1.079,0.993,No_Gas
434,1.08,1.07,0.991,No_Gas
435,1.096,1.062,0.993,No_Gas
436,1.088,1.062,0.991,No_Gas
437,1.088,1.079,0.993,No_Gas
438,1.08,1.054,0.991,No_Gas
439,1.096,1.062,0.987,No_Gas
440,1.088,1.054,0.997,No_Gas
441,1.088,1.062,0.997,No_Gas
442,1.088,1.062,0.993,No_Gas
443,1.08,1.038,0.997,No_Gas
444,1.08,1.079,0.995,No_Gas
445,1.096,1.062,0.995,No_Gas
446,1.088,1.062,0.993,No_Gas
447,1.088,1.054,0.993,No_Gas
448,1.088,1.07,0.995,No_Gas
449,1.088,1.062,1.001,No_Gas
450,1.08,1.062,0.991,No_Gas
451,1.088,1.062,0.989,No_Gas
452,1.088,1.079,0.989,No_Gas
453,1.096,1.062,1.003,No_Gas
454,1.088,1.062,0.995,No_Gas
455,1.104,1.062,0.999,No_Gas
456,1.104,1.087,0.999,No_Gas
457,1.08,1.079,0.993,No_Gas
458,1.096,1.079,0.995,No_Gas
459,1.104,1.062,0.995,No_Gas
460,1.096,1.096,0.987,No_Gas
461,1.096,1.079,0.991,No_Gas
462,1.104,1.079,0.993,No_Gas
463,1.096,1.096,0.993,No_Gas
464,1.104,1.07,0.995,No_Gas
465,1.104,1.096,0.989,No_Gas
466,1.112,1.079,0.991,No_Gas
467,1.104,1.096,0.991,No_Gas
468,1.104,1.079,0.993,No_Gas
469,1.096,1.079,0.993,No_Gas
470,1.104,1.087,0.995,No_Gas
471,1.12,1.079,0.991,No_Gas
472,1.112,1.079,1.001,No_Gas
473,1.12,1.079,0.993,No_Gas
474,1.12,1.07,0.991,No_Gas
475,1.12,1.096,0.995,No_Gas
476,1.104,1.079,0.989,No_Gas
477,1.112,1.079,0.991,No_Gas
478,1.12,1.087,0.995,No_Gas
479,1.128,1.079,0.993,No_Gas
480,1.12,1.087,0.995,No_Gas
481,1.112,1.087,0.991,No_Gas
482,1.128,1.07,0.997,No_Gas
483,1.12,1.079,0.989,No_Gas
484,1.104,1.087,0.989,No_Gas
485,1.128,1.079,0.995,No_Gas
486,1.104,1.096,0.989,No_Gas
487,1.104,1.079,0.991,No_Gas
488,1.12,1.087,0.989,No_Gas
489,1.112,1.079,0.991,No_Gas
490,1.112,1.087,0.991,No_Gas
491,1.128,1.087,0.995,No_Gas
492,1.12,1.079,0.995,No_Gas
493,1.104,1.079,0.991,No_Gas
494,1.137,1.079,0.995,No_Gas
495,1.12,1.079,0.991,No_Gas
496,1.12,1.087,0.993,No_Gas
497,1.112,1.087,0.993,No_Gas
498,1.12,1.105,0.997,No_Gas
499,1.12,1.087,0.997,No_Gas
500,1.112,1.087,0.991,No_Gas
501,1.112,1.087,0.987,No_Gas
502,1.12,1.096,0.991,No_Gas
503,1.128,1.087,0.995,No_Gas
504,1.12,1.087,0.999,No_Gas
505,1.128,1.096,0.991,No_Gas
506,1.12,1.087,0.987,No_Gas
507,1.12,1.062,0.991,No_Gas
508,1.12,1.087,0.989,No_Gas
509,1.12,1.096,0.989,No_Gas
510,1.128,1.079,0.993,No_Gas
511,1.112,1.079,0.987,No_Gas
512,1.128,1.079,0.987,No_Gas
513,1.12,1.087,0.997,No_Gas
514,1.112,1.087,0.991,No_Gas
515,1.12,1.105,0.991,No_Gas
516,1.12,1.087,0.995,No_Gas
517,1.12,1.079,0.987,No_Gas
518,1.104,1.096,0.987,No_Gas
519,1.112,1.096,0.989,No_Gas
520,1.104,1.087,0.989,No_Gas
521,1.12,1.105,0.991,No_Gas
522,1.128,1.079,0.989,No_Gas
523,1.12,1.096,0.991,No_Gas
524,1.137,1.096,0.989,No_Gas
525,1.112,1.087,0.991,No_Gas
526,1.112,1.096,0.989,No_Gas
527,1.112,1.105,0.991,No_Gas
528,1.112,1.105,0.985,No_Gas
529,1.12,1.087,0.991,No_Gas
530,1.146,1.096,0.999,No_Gas
531,1.112,1.096,0.995,No_Gas
532,1.12,1.096,0.995,No_Gas
533,1.112,1.087,0.989,No_Gas
534,1.12,1.079,0.997,No_Gas
535,1.12,1.096,0.987,No_Gas
536,1.104,1.079,0.989,No_Gas
537,1.12,1.087,0.991,No_Gas
538,1.12,1.087,0.993,No_Gas
539,1.104,1.087,0.991,No_Gas
540,1.128,1.087,0.993,No_Gas
541,1.128,1.105,0.993,No_Gas
542,1.12,1.105,0.991,No_Gas
543,1.112,1.096,0.991,No_Gas
544,1.12,1.096,0.989,No_Gas
545,1.12,1.087,0.991,No_Gas
546,1.12,1.096,0.991,No_Gas
547,1.12,1.096,0.995,No_Gas
548,1.12,1.087,0.997,No_Gas
549,1.12,1.096,0.995,No_Gas
550,1.104,1.096,0.989,No_Gas
551,1.112,1.087,0.995,No_Gas
552,1.112,1.079,0.991,No_Gas
553,1.104,1.087,0.995,No_Gas
554,1.112,1.087,0.991,No_Gas
555,1.112,1.105,0.995,No_Gas
556,1.12,1.087,0.993,No_Gas
557,1.112,1.096,0.985,No_Gas
558,1.12,1.079,0.987,No_Gas
559,1.12,1.096,1.001,No_Gas
560,1.104,1.087,0.991,No_Gas
561,1.128,1.079,0.989,No_Gas
562,1.112,1.087,0.991,No_Gas
563,1.112,1.079,0.991,No_Gas
564,1.12,1.087,0.989,No_Gas
565,1.128,1.079,0.995,No_Gas
566,1.12,1.079,0.991,No_Gas
567,1.128,1.096,0.991,No_Gas
568,1.12,1.096,0.997,No_Gas
569,1.128,1.087,0.999,No_Gas
570,1.12,1.087,0.989,No_Gas
571,1.112,1.087,0.987,No_Gas
572,1.128,1.087,0.995,No_Gas
573,1.096,1.087,0.991,No_Gas
574,1.128,1.087,0.989,No_Gas
575,1.12,1.096,0.995,No_Gas
576,1.12,1.087,0.993,No_Gas
577,1.12,1.096,0.987,No_Gas
578,1.12,1.096,0.991,No_Gas
579,1.12,1.096,0.987,No_Gas
580,1.137,1.096,0.997,No_Gas
581,1.12,1.096,0.995,No_Gas
582,1.12,1.105,0.989,No_Gas
583,1.128,1.105,0.991,No_Gas
584,1.137,1.087,0.995,No_Gas
585,1.128,1.105,0.995,No_Gas
586,1.137,1.087,0.995,No_Gas
587,1.128,1.087,0.989,No_Gas
588,1.154,1.087,0.995,No_Gas
589,1.128,1.096,0.995,No_Gas
590,1.12,1.079,0.997,No_Gas
591,1.112,1.087,0.991,No_Gas
592,1.12,1.096,0.989,No_Gas
593,1.12,1.096,0.995,No_Gas
594,1.12,1.096,0.991,No_Gas
595,1.12,1.087,0.987,No_Gas
596,1.128,1.105,0.987,No_Gas
597,1.12,1.096,0.987,No_Gas
598,1.112,1.096,0.991,No_Gas
599,1.12,1.096,0.993,No_Gas
600,1.112,1.079,0.993,No_Gas
601,1.12,1.087,0.989,No_Gas
602,1.12,1.087,0.989,No_Gas
603,1.12,1.087,0.991,No_Gas
604,1.128,1.087,0.989,No_Gas
605,1.12,1.105,0.999,No_Gas
606,1.12,1.096,0.993,No_Gas
607,1.12,1.096,0.991,No_Gas
608,1.112,1.079,0.995,No_Gas
609,1.137,1.105,0.995,No_Gas
610,1.12,1.087,0.991,No_Gas
611,1.112,1.096,0.989,No_Gas
612,1.146,1.096,0.997,No_Gas
613,1.128,1.105,0.991,No_Gas
614,1.137,1.096,0.995,No_Gas
615,1.128,1.087,0.997,No_Gas
616,1.112,1.096,1.003,No_Gas
617,1.104,1.087,0.987,No_Gas
618,1.128,1.087,0.993,No_Gas
619,1.12,1.087,0.995,No_Gas
620,1.112,1.096,0.991,No_Gas
621,1.12,1.096,0.995,No_Gas
622,1.112,1.105,0.989,No_Gas
623,1.12,1.105,0.997,No_Gas
624,1.112,1.087,0.991,No_Gas
625,1.137,1.079,0.995,No_Gas
626,1.12,1.087,0.991,No_Gas
627,1.112,1.087,0.995,No_Gas
628,1.12,1.079,0.991,No_Gas
629,1.137,1.096,0.995,No_Gas
630,1.128,1.096,0.989,No_Gas
631,1.12,1.087,0.995,No_Gas
632,1.12,1.096,0.991,No_Gas
633,1.137,1.087,0.991,No_Gas
634,1.137,1.096,0.989,No_Gas
635,1.128,1.096,0.995,No_Gas
636,1.12,1.096,0.991,No_Gas
637,1.12,1.096,0.987,No_Gas
638,1.12,1.087,0.993,No_Gas
639,1.137,1.096,0.997,No_Gas
640,1.12,1.096,0.995,No_Gas
641,1.12,1.096,0.991,No_Gas
642,1.12,1.105,0.991,No_Gas
643,1.154,1.105,0.989,No_Gas
644,1.146,1.087,0.993,No_Gas
645,1.137,1.096,0.997,No_Gas
646,1.112,1.096,0.995,No_Gas
647,1.112,1.096,0.989,No_Gas
648,1.128,1.096,0.989,No_Gas
649,1.128,1.087,0.989,No_Gas
650,1.12,1.087,0.989,No_Gas
651,1.12,1.087,0.989,No_Gas
652,1.154,1.096,0.993,No_Gas
653,1.12,1.105,0.989,No_Gas
654,1.128,1.079,0.989,No_Gas
655,1.112,1.096,0.987,No_Gas
656,1.12,1.096,0.991,No_Gas
657,1.137,1.096,0.991,No_Gas
658,1.12,1.105,0.987,No_Gas
659,1.137,1.096,0.997,No_Gas
660,1.12,1.096,0.989,No_Gas
661,1.128,1.096,0.993,No_Gas
662,1.137,1.087,0.989,No_Gas
663,1.137,1.087,0.989,No_Gas
664,1.12,1.096,0.991,No_Gas
665,1.154,1.079,0.993,No_Gas
666,1.137,1.079,0.987,No_Gas
667,1.128,1.105,0.989,No_Gas
668,1.12,1.096,0.991,No_Gas
669,1.137,1.096,0.993,No_Gas
670,1.128,1.105,0.991,No_Gas
671,1.137,1.087,0.995,No_Gas
672,1.137,1.096,0.993,No_Gas
673,1.128,1.096,0.995,No_Gas
674,1.128,1.105,0.995,No_Gas
675,1.128,1.096,0.993,No_Gas
676,1.137,1.087,0.997,No_Gas
677,1.137,1.079,0.995,No_Gas
678,1.137,1.096,0.989,No_Gas
679,1.128,1.079,0.987,No_Gas
680,1.12,1.087,0.991,No_Gas
681,1.12,1.105,0.987,No_Gas
682,1.128,1.096,0.993,No_Gas
683,1.128,1.096,0.997,No_Gas
684,1.137,1.096,0.995,No_Gas
685,1.137,1.105,0.989,No_Gas
686,1.12,1.096,0.991,No_Gas
687,1.128,1.096,0.997,No_Gas
688,1.112,1.096,0.993,No_Gas
689,1.12,1.105,0.987,No_Gas
690,1.137,1.07,0.993,No_Gas
691,1.128,1.105,0.989,No_Gas
692,1.137,1.096,0.997,No_Gas
693,1.154,1.105,0.997,No_Gas
694,1.12,1.105,0.993,No_Gas
695,1.128,1.105,0.989,No_Gas
696,1.112,1.105,0.991,No_Gas
697,1.137,1.096,0.985,No_Gas
